Id,Answer
0,士兵
1,《諸羅縣志》
2,袁晁
3,
4,長盤勝負
5,東北
6,1889年
7,西漢的版圖向西擴張
8,郵政機關
9,最重要的通訊手段
10,周星馳
11,五大老
12,相當程度
13,anticipation
14,2007年
15,硫化氫
16,華萊士
17,107克耳文
18,
19,[UNK]-15
20,愛爾蘭語，在英語中也稱為[UNK]、[UNK]、[UNK][UNK]或[UNK]，因此在漢語中愛爾蘭語也有「蓋德爾語」、「蓋爾語」、或「愛爾蘭蓋爾語」等其他譯名。愛爾蘭語在語言分類上屬於印歐語系
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,數十年
25,外交活動
26,拉丁文[UNK]
27,路加是希臘人
28,1964年
29,傑羅姆·威斯納
30,文化大革命爆發後，學校的教學、科研等各項工作陷入全面癱瘓狀態
31,《名人傳》
32,灣仔
33,俗雲萬里石塘
34,約翰·布蘭豪
35,1964年
36,新北市
37,白色
38,任何示威
39,十丐
40,南宋皇族和官員的後裔流落定居於香山。明朝
41,四千名
42,
43,1070年
44,醫療保險
45,第一教學樓
46,1929年
47,世界盃紀念郵票
48,1932年
49,
50,
51,武大隆
52,長年
53,南斯拉夫民族解放反法西斯議會在11月的制憲會議宣布南斯拉夫成立共黨政府，罷黜君主制。1946年1月31日，南斯拉夫戰
54,米利都
55,花剌子
56,阿爾法版本
57,六大城市之一?[SEP]都定於北平一條予以刪除。12月25日，中華民國憲法三讀通過，民國三十六年1月1日公布，同年12月25日正式實行。自此，南京失去中華民國法定國都的地位
58,新北市教育主管機管
59,中文網
60,凡爾賽宮
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,
66,南京市
67,東漢
68,噴射發動機為動力，擺脫螺旋槳在接近音速時的上限
69,二十歲
70,古栽
71,1994年
72,
73,凝固是指在溫度降低時，物質由液態變為固態的過程，物質凝固時的溫度稱為凝固點。目前已知的液體幾乎都可以在低溫時凝固成為固體，氦
74,經過依納爵長久的薰陶
75,一級公路
76,大韓生命保險公司大樓
77,侯寶林
78,
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,心理學
86,西漢元封二年
87,隋滅南陳後，開始要求周邊國家為其臣屬。高句麗與隋朝的關係逐漸進入戰爭
88,五胡君主
89,1861年
90,
91,三吳地區
92,複合式裝甲
93,大躍進運動
94,該樓
95,荷蘭語
96,1934年
97,檸檬酸咖啡
98,1913年
99,1949年
100,大象
101,1915年
102,
103,上皮組織
104,美國
105,加里恩努斯繼承皇位
106,李[UNK]
107,四
108,佛學論書
109,
110,薩克森邦
111,三天
112,1944年
113,無稅可收
114,巴夏禮
115,哈林河
116,南亞
117,樂比賽聲音
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,秘書長
122,伊斯蘭
123,雷家驥
124,安藏王
125,字喃
126,四百公尺
127,1939年
128,只得轉入戰略防禦
129,福建林家
130,用來運貨
131,民主黨
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,越南國旗
138,兩波
139,1939年
140,高速攝影
141,石齋畫報
142,南越地區
143,1988年
144,上吊自殺，25%通過服毒、14%通過從高處墜落。男性則有50%通過上吊方式自殺
145,麥高文
146,水鐘
147,
148,勃艮地人
149,德蘇戰爭
150,髒層
151,世界衛生組織
152,1957年
153,就業保障制度
154,光緒三十年
155,打算將牠們命名為[UNK]
156,國共內戰戰況失利
157,六個
158,乙醚
159,唐太宗
160,卡爾梅克人社區被消滅，對卡爾梅克人
161,1969年初，劉少奇患重病，由中南海特派的搶救組予以搶救。1969年10月17日
162,63位
163,
164,古希臘時代
165,傳統宗教
166,該海灣面積大幅縮小
167,南京
168,城市化發展速度
169,[UNK]
170,8月4日
171,1999年
172,《天淨沙》
173,二次大戰
174,正光元年
175,趙佗創立南越國
176,
177,岑智明
178,最後以普魯士大獲全勝，建立德意志帝國告終
179,公元前362年
180,強力政府
181,28歲
182,2000年10月
183,保加利亞
184,三大優點
185,2000公厘以上，無明顯乾溼季之分；溫差小，平均溫約攝氏25~27度
186,社會黨
187,南斯拉夫
188,波士頓
189,1992年
190,
191,治維新
192,明朝
193,1498年
194,2000年
195,2012年
196,有關稻
197,克萊門森級
198,森林
199,阿森納女子足球俱樂部為阿森納的屬會。成立於1987年，是英格蘭最成功的女子隊，先後贏得12次英格蘭女子足球超級聯賽冠軍、10次英格蘭女子足協盃及10次英格蘭女子聯賽盃
200,一黨制或者一黨優勢制
201,英京大酒家
202,1920年
203,53.3%
204,多倫多證券交易所是加拿大最大的證券交易所，而加拿大五大銀行的總部皆位於多倫多
205,坡度較高
206,
207,反貪污特警隊綠色行動專項打擊軍隊走私。但由於美軍在全球都駐有基地和部隊並且軍隊管理制度和人員素質問題國際毒品走私事件也頻有發生，以在韓國為例，在2012年上半年韓國海關
208,艾瑪·史東
209,與真實值存在一定的偏差
210,彌勒半[UNK]趺坐姿態
211,亞歷山大一世
212,
213,真空帶
214,新北市
215,最根本
216,附屬島嶼之主權
217,唐努烏梁海
218,一線工作
219,劉源
220,
221,駐廠商
222,西部地區
223,1982年
224,1449年
225,君主
226,少數山峰
227,
228,美國發明家
229,2006年
230,沒有
231,中國器官移植手術
232,元世祖在與阿里不哥作戰與整頓國內之際，因為無暇對付南宋，於是派郝經對南宋提出高壓的議和內容。當時南宋的宋恭帝僅五歲，由謝太后垂簾聽政，大權由謊稱擊退蒙古軍的賈似道掌握。由於賈似道畏懼謊言被擊破而幽禁郝經。南宋並於1262年
233,澎湖
234,3766人
235,0.4太陽質量
236,颱風
237,2014年
238,1968年
239,
240,結合美國社會的現實
241,鋁土礦
242,現代化建築
243,阿美族
244,黑死病
245,2007年
246,阿森納站
247,受到社會普遍的譴責
248,2001年
249,波士頓塞爾提克隊
250,溥[UNK]
251,副主席
252,
253,政長為巡按使
254,《風之國度
255,1951年
256,漢語拼音方案
257,1984年
258,線與站
259,下薩克森邦
260,
261,菲律賓富商工作的工資
262,全勝紀錄
263,戰鬥機
264,中國天文學
265,高濃度
266,袁世凱
267,明朝
268,1848年
269,1954年
270,1997年10月簽署《經濟、社會、文化權利國際公約》以及在1998年
271,左右著韓國
272,《南華早報》
273,可以麻痺嗅覺神經
274,佛像
275,阿聯
276,灣仔發展計劃第二期是整個中環及灣仔填海計劃的最後一期工程。這項目以交通基建為主，如中環灣仔繞道、東區走廊連接路、港鐵北港島線及沙田至中環鐵路線的第四條過海隧道
277,前線步兵師
278,永曆帝
279,相約成俗
280,自律心肌細胞
281,1985年
282,德語地區
283,
284,1237年
285,東羅馬
286,劉裕
287,奧匈帝國
288,美國律師協會
289,1658年
290,清代
291,美川王
292,胡安·林茲
293,日本
294,1998年1月1日
295,橫越天空
296,孟懷玉
297,細胞外的鈣離子
298,383年
299,羅納爾迪尼奧
300,與秦軍對峙[UNK]水
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題
305,丁基羥基甲苯
306,辛亥革命
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,無論
314,446種
315,神[UNK]古鎮
316,亞德港
317,布爾什維克革命
318,民主黨
319,彌爾
320,視錐細胞
321,1928年
322,期貨合約
323,100個大姓中，有十多個
324,300美元
325,米勒
326,大力發展體育事業
327,元世祖建國號
328,力自行車
329,數學
330,亞熱帶
331,經濟
332,
333,朱一貴
334,愛爾蘭島
335,發球失誤
336,銃炮
337,1959年
338,1980年代
339,凱·艾維
340,高句麗
341,1980年
342,希臘文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,美國
349,倫敦大學的名義
350,1888年
351,岡底斯山脈
352,1972年
353,語民族
354,三菱重工業
355,法西斯義
356,達到成為非洲主要經濟體的目標
357,克勞斯工藝
358,與丹尼索瓦人混血
359,忽必烈
360,中國
361,2003年
362,蝸牛狀
363,布列斯特-立陶夫
364,1955年
365,韓國
366,
367,1964年
368,史都華中校
369,1910年
370,鮮卑部
371,沙阿摩訶末
372,1958年
373,1955年
374,
375,摩市
376,中華民國政府
377,社團部
378,1916年3月22日在聖貞女瑪麗羅馬天主教堂結婚
379,電子郵件
380,
381,巴切萊特
382,2005年
383,
384,哥白尼
385,60年代
386,雙循環泵功能
387,1836年
388,日本國內市場狹小而無法發展
389,民國32年
390,使用大量優勢兵力向西擊敗法國然後再掉頭往東對付俄國
391,幅員遼闊
392,新疆建
393,受到材料與設計的影響
394,自然狀態」
395,路易·巴斯德
396,中部科學園區
397,辛亥革命爆發後，廣東於宣統三年九月十九日
398,1976年
399,傳記文學
400,第二次工業革命
401,突厥語
402,哈雷阿卡拉
403,坎貝爾式
404,8小時
405,樂壇女王
406,
407,國立廣東大學
408,亞伯拉罕諸教
409,六億七千多萬美金
410,妖怪
411,鈞官窯遺址
412,中文
413,酸鹼值
414,需要編制更完善和更嚴謹的命名規則
415,阿爾泰語系
416,李覺
417,信陽市
418,1000多年
419,美國空軍
420,會略
421,科技
422,媽祖
423,鮑德溫伯爵
424,
425,15米，面積為4000平方米
426,蘇丹南
427,雲騎尉
428,土地起伏大
429,1994年12月1日
430,太陽
431,那拉氏
432,辛酉政變
433,銅的礦物
434,便利商店
435,儒略日是在儒略週期內以連續的日數計算時間的計時法
436,慢病毒載體
437,陳誠
438,孫中山
439,德國單獨媾和
440,
441,中原大戰
442,1978年
443,
444,680.48
445,摩斯科格族
446,嘉義市
447,經濟作物也有較大發展
448,氣流機制
449,五角星圖案
450,帝國
451,奧斯陸是歐洲重要的航海工業
452,埃姆斯蘭高速公路阿31，它從東弗里斯蘭出發經過埃姆斯蘭到博特羅普
453,匿蹤性能較佳
454,中國共產黨中央政治局常務委員會
455,1939年
456,斯沃斯
457,昆明市區
458,盟旗制。維吾爾、布魯特、塔吉克等族地區則實行伯克制
459,臺南州
460,腓力二世
461,大陸內陸區
462,1867年
463,發球權
464,中華人民共和國
465,保守派
466,[UNK]++
467,《全唐詩》
468,1911年
469,1982年
470,七年
471,路易十四
472,德國物理學
473,梁朝偉
474,吳三連
475,1918年
476,米勒
477,1月8日
478,掃雷艇部隊
479,聯合對抗
480,內閣一
481,民國3年
482,1988年
483,波你尼所
484,東晉時期。「五胡
485,線傳飛控
486,韓朝
487,烏孜別克人
488,2555公里
489,國共內戰
490,[UNK][UNK]
491,茲維亞德·加姆薩胡爾季阿
